# created by LinkChecker at 2014-10-12 11:53:16-004,,,,,,,,,,,,,,,,,,,,,,
# Get the newest version at http://wummel.github.io/linkchecker/,,,,,,,,,,,,,,,,,,,,,,
# Write comments and bugs to https://github.com/wummel/linkchecker/issues,,,,,,,,,,,,,,,,,,,,,,
# Support this project at http://wummel.github.io/linkchecker/donations.html,,,,,,,,,,,,,,,,,,,,,,
urlname,parentname,baseref,result,warningstring,infostring,valid,url,line,column,name,dltime,dlsize,checktime,cached,level,modified,,,,,,
states/AZ/AZ-LTL.html,http://teknoids.github.io/locate-the-law/,,timeout: timed out,,,False,http://teknoids.github.io/locate-the-law/states/AZ/AZ-LTL.html,41,16,Arizona,-1,-1,60.091657877,0,1,,,,,,,
states/DC/DC-LTL.html,http://teknoids.github.io/locate-the-law/,,timeout: timed out,,,False,http://teknoids.github.io/locate-the-law/states/DC/DC-LTL.html,47,16,District Of Columbia,-1,-1,60.8688528538,0,1,,,,,,,
states/NM/NM-LTL.html,http://teknoids.github.io/locate-the-law/,,timeout: timed out,,,False,http://teknoids.github.io/locate-the-law/states/NM/NM-LTL.html,70,16,New Mexico,-1,-1,61.0155069828,0,1,,,,,,,
states/RI/RI-LTL.html,http://teknoids.github.io/locate-the-law/,,timeout: timed out,,,False,http://teknoids.github.io/locate-the-law/states/RI/RI-LTL.html,78,16,Rhode Island,-1,-1,62.7198839188,0,1,,,,,,,
http://www.legis.state.ak.us/cgi-bin/folioisa.dll/acontxt?,http://teknoids.github.io/locate-the-law/states/AK/AK-LTL.html,,200 OK,"Access denied by robots.txt, skipping content checks.
HTTP 301 (moved permanent) encountered: you should update this link.",Redirected to `http://www.legis.state.ak.us/basis/folioproxy.asp?url=http://wwwjnu01.legis.state.ak.us/cgi-bin/folioisa.dll/acontxt'.,True,http://www.legis.state.ak.us/basis/folioproxy.asp?url=http://wwwjnu01.legis.state.ak.us/cgi-bin/folioisa.dll/acontxt,23,12,Alaska State Constitution,-1,936,9.3626790047,0,2,,,,,,,
http://www.legis.state.ak.us/cgi-bin/folioisa.dll/aac,http://teknoids.github.io/locate-the-law/states/AK/AK-LTL.html,,200 OK,"Access denied by robots.txt, skipping content checks.
HTTP 301 (moved permanent) encountered: you should update this link.",Redirected to `http://www.legis.state.ak.us/basis/folioproxy.asp?url=http://wwwjnu01.legis.state.ak.us/cgi-bin/folioisa.dll/aac'.,True,http://www.legis.state.ak.us/basis/folioproxy.asp?url=http://wwwjnu01.legis.state.ak.us/cgi-bin/folioisa.dll/aac,30,11,Alaska   Administrative Code,-1,924,9.7118391991,0,2,,,,,,,
http://notes5.state.ak.us/pn/pubnotic.nsf/aaj?OpenView,http://teknoids.github.io/locate-the-law/states/AK/AK-LTL.html,,Hostname not found,,,False,http://notes5.state.ak.us/pn/pubnotic.nsf/aaj?OpenView,32,27,Alaska   Administrative Journal,-1,-1,15.6046700478,0,2,,,,,,,
http://www.legis.state.ak.us/cgi-bin/folioisa.dll/exor,http://teknoids.github.io/locate-the-law/states/AK/AK-LTL.html,,200 OK,"Access denied by robots.txt, skipping content checks.
HTTP 301 (moved permanent) encountered: you should update this link.",Redirected to `http://www.legis.state.ak.us/basis/folioproxy.asp?url=http://wwwjnu01.legis.state.ak.us/cgi-bin/folioisa.dll/exor'.,True,http://www.legis.state.ak.us/basis/folioproxy.asp?url=http://wwwjnu01.legis.state.ak.us/cgi-bin/folioisa.dll/exor,34,13,Executive Orders,-1,927,18.7630181313,0,2,,,,,,,
http://www.courts.alaska.gov/crimins.htm,http://teknoids.github.io/locate-the-law/states/AK/AK-LTL.html,,404 Not Found,,,False,http://www.courts.alaska.gov/crimins.htm,58,12,Alaska Criminal Pattern Jury   Instructions,-1,1797,2.133630991,0,2,,,,,,,
http://www.legis.state.ak.us/cgi-bin/folioisa.dll/slpr?,http://teknoids.github.io/locate-the-law/states/AK/AK-LTL.html,,200 OK,"Access denied by robots.txt, skipping content checks.
HTTP 301 (moved permanent) encountered: you should update this link.",Redirected to `http://www.legis.state.ak.us/basis/folioproxy.asp?url=http://wwwjnu01.legis.state.ak.us/cgi-bin/folioisa.dll/slpr'.,True,http://www.legis.state.ak.us/basis/folioproxy.asp?url=http://wwwjnu01.legis.state.ak.us/cgi-bin/folioisa.dll/slpr,67,12,Alaska Session Laws,-1,927,9.1213378906,0,2,,,,,,,
http://www.legis.state.ak.us/,http://teknoids.github.io/locate-the-law/states/AK/AK-LTL.html,,200 OK,HTTP 301 (moved permanent) encountered: you should update this link.,Redirected to `http://w3.legis.state.ak.us/index.php'.,True,http://w3.legis.state.ak.us/index.php,69,12,Alaska Legislature,24.4500830173,15180,20.2903909683,0,2,,,,,,,
http://www.courts.alaska.gov/libhrs.htm,http://teknoids.github.io/locate-the-law/states/AK/AK-LTL.html,,404 Not Found,,,False,http://www.courts.alaska.gov/libhrs.htm,74,12,Alaska Court System   Libraries,-1,1797,2.1047799587,0,2,,,,,,,
http://governor.alabama.gov/news/newsroom.aspx?t=29,http://teknoids.github.io/locate-the-law/states/AL/AL-LTL.html,,200 OK,HTTP 301 (moved permanent) encountered: you should update this link.,Redirected to `http://governor.alabama.gov/newsroom/?t=29'.,True,http://governor.alabama.gov/newsroom/?t=29,36,12,Executive Orders,0.9915440083,7487,11.2151219845,0,2,,,,,,,
